ticker,date,direction,n_comp,range_high,range_low,range_size,entry_price,stop,target,exit_price,exit_date,risk,pnl_per_share,r_multiple,result,exit_reason
MA,2019-08-21,long,4,275.96,265.85,10.11,279.64,265.85,307.22,270.3,2019-09-23,13.79,-9.34,-0.6773,LOSS,maxhold
MA,2019-11-18,long,5,280.46,269.86,10.6,280.0,269.86,300.28,294.49,2019-12-19,10.14,14.49,1.429,WIN,maxhold
MA,2020-02-14,long,2,335.52,325.51,10.01,337.46,325.51,361.36,325.51,2020-02-24,11.95,-11.95,-1.0,LOSS,stop
MA,2020-05-19,long,1,279.14,273.29,5.85,289.17,273.29,320.93,309.5,2020-06-19,15.88,20.33,1.2802,WIN,maxhold
MA,2020-07-14,short,5,307.79,290.56,17.23,292.0,307.79,260.42,307.79,2020-07-20,15.79,-15.79,-1.0,LOSS,stop
MA,2020-08-06,long,3,315.69,305.6101,10.0799,327.4,305.6101,370.9798,328.76,2020-09-08,21.7899,1.36,0.0624,WIN,maxhold
MA,2020-10-12,long,5,346.7,336.01,10.69,355.0,336.01,392.98,336.01,2020-10-15,18.99,-18.99,-1.0,LOSS,stop
MA,2020-10-27,short,5,344.9787,329.25,15.7287,318.9,344.9787,266.7426,344.9787,2020-11-09,26.0787,-26.0787,-1.0,LOSS,stop
MA,2021-02-25,long,1,354.28,338.41,15.87,364.56,338.41,416.86,364.24,2021-03-29,26.15,-0.32,-0.0122,LOSS,maxhold
MA,2021-07-14,long,5,378.235,365.65,12.585,382.98,365.65,417.64,365.65,2021-07-19,17.33,-17.33,-1.0,LOSS,stop
MA,2022-01-26,short,5,377.68,359.71,17.97,343.36,377.68,274.72,377.68,2022-01-28,34.32,-34.32,-1.0,LOSS,stop
MA,2022-02-03,long,2,395.5,376.29,19.21,388.54,376.29,413.04,376.29,2022-02-07,12.25,-12.25,-1.0,LOSS,stop
MA,2022-04-20,long,5,362.95,342.87,20.08,366.66,342.87,414.24,342.87,2022-05-06,23.79,-23.79,-1.0,LOSS,stop
MA,2022-08-30,short,4,345.64,331.7,13.94,331.0,345.64,301.72,301.72,2022-09-22,14.64,29.28,2.0,WIN,target
MA,2023-01-12,long,4,375.0,349.69,25.31,377.86,349.69,434.2,349.69,2023-01-24,28.17,-28.17,-1.0,LOSS,stop
MA,2023-02-23,short,5,373.41,355.19,18.22,357.74,373.41,326.4,355.57,2023-03-27,15.67,2.17,0.1385,WIN,maxhold
MA,2023-04-14,long,1,368.6,361.025,7.575,370.0,361.025,387.95,361.025,2023-04-27,8.975,-8.975,-1.0,LOSS,stop
MA,2023-05-08,long,5,382.455,370.94,11.515,384.01,370.94,410.15,370.94,2023-05-23,13.07,-13.07,-1.0,LOSS,stop
MA,2023-08-29,long,5,404.0,388.83,15.17,407.42,388.83,444.6,402.03,2023-09-29,18.59,-5.39,-0.2899,LOSS,maxhold
MA,2024-01-23,long,2,437.07,427.45,9.62,440.27,427.45,465.91,465.91,2024-02-15,12.82,25.64,2.0,WIN,target
MA,2024-04-16,short,5,479.68,464.19,15.49,460.0,479.68,420.64,460.45,2024-05-17,19.68,-0.45,-0.0229,LOSS,maxhold
MA,2024-10-17,long,5,508.79,491.53,17.26,516.29,491.53,565.81,518.59,2024-11-18,24.76,2.3,0.0929,WIN,maxhold
MA,2025-01-07,short,5,537.7,517.66,20.04,513.68,537.7,465.64,537.7,2025-01-27,24.02,-24.02,-1.0,LOSS,stop
MA,2025-03-12,short,2,550.375,532.02,18.355,530.51,550.375,490.78,550.375,2025-03-26,19.865,-19.865,-1.0,LOSS,stop
MA,2025-06-23,short,4,590.67,552.5101,38.1599,531.42,590.67,412.92,562.0,2025-07-24,59.25,-30.58,-0.5161,LOSS,maxhold
MA,2025-08-15,long,5,578.32,553.855,24.465,585.0,553.855,647.29,582.73,2025-09-15,31.145,-2.27,-0.0729,LOSS,maxhold
MA,2025-09-25,short,5,601.6199,576.83,24.7899,565.0,601.6199,491.7602,575.72,2025-10-27,36.6199,-10.72,-0.2927,LOSS,maxhold
META,2021-12-06,short,1,15.76,15.32,0.44,15.125,15.76,13.855,15.76,2021-12-07,0.635,-0.635,-1.0,LOSS,stop
META,2022-07-20,long,5,167.49,157.2801,10.2099,177.485,157.2801,217.8948,157.2801,2022-07-28,20.2049,-20.2049,-1.0,LOSS,stop
META,2023-01-11,long,4,130.33,122.28,8.05,130.96,122.28,148.32,148.32,2023-01-27,8.68,17.36,2.0,WIN,target
META,2023-03-16,long,2,194.32,174.82,19.5,198.26,174.82,245.14,219.79,2023-04-17,23.44,21.53,0.9185,WIN,maxhold
META,2023-05-02,long,2,241.685,208.88,32.805,243.18,208.88,311.78,272.66,2023-06-02,34.3,29.48,0.8595,WIN,maxhold
META,2023-09-15,long,5,309.04,292.22,16.82,311.61,292.22,350.39,292.22,2023-09-27,19.39,-19.39,-1.0,LOSS,stop
META,2023-10-09,long,5,310.64,296.7,13.94,312.5,296.7,344.1,296.7,2023-10-26,15.8,-15.8,-1.0,LOSS,stop
